"TreeDepth","PID","Process","Args"
0,4,"System","Required memory at 0x20 is not valid (process exited?)"
0,88,"Registry","Required memory at 0x20 is not valid (process exited?)"
0,304,"smss.exe","\SystemRoot\System32\smss.exe"
0,396,"csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,472,"wininit.exe","wininit.exe"
0,580,"services.exe","C:\Windows\system32\services.exe"
0,612,"lsass.exe","C:\Windows\system32\lsass.exe"
0,712,"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
0,732,"fontdrvhost.ex",""fontdrvhost.exe""
0,824,"svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p"
0,60,"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p"
0,356,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
0,464,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
0,680,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1140,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p"
0,1236,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p"
0,1268,"MemCompression","Required memory at 0x20 is not valid (process exited?)"
0,1376,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1392,"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p"
0,1568,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1580,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1624,"helperservice.",""C:\Program Files\Softdeluxe\Free Download Manager\helperservice.exe""
0,1708,"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
0,1740,"spoolsv.exe","C:\Windows\System32\spoolsv.exe"
0,1764,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
0,1952,"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
0,2012,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
0,2084,"svchost.exe","C:\Windows\System32\svchost.exe -k utcsvc -p"
0,2104,"svchost.exe","C:\Windows\system32\svchost.exe -k ftpsvc"
0,2216,"TCPSVCS.EXE","C:\Windows\System32\tcpsvcs.exe"
0,2344,"vmtoolsd.exe",""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""
0,2368,"wlms.exe","C:\Windows\system32\wlms\wlms.exe"
0,2400,"vm3dservice.ex","C:\Windows\system32\vm3dservice.exe"
0,2408,"VGAuthService.",""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""
0,2500,"dasHost.exe","dashost.exe {96d52ee7-ef04-412b-81aaf9284d4ea09e}"
0,2588,"svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs"
0,2624,"vm3dservice.ex","Required memory at 0x7e5daab020 is not valid (process exited?)"
0,3332,"dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
0,3484,"msdtc.exe","C:\Windows\System32\msdtc.exe"
0,3856,"svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p"
0,2912,"SearchIndexer.","C:\Windows\system32\SearchIndexer.exe /Embedding"
0,992,"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p"
0,3160,"SgrmBroker.exe","C:\Windows\system32\SgrmBroker.exe"
0,5168,"SecurityHealth","C:\Windows\system32\SecurityHealthService.exe"
0,6044,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,2512,"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
0,4912,"csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,6752,"winlogon.exe","winlogon.exe"
0,7408,"fontdrvhost.ex",""fontdrvhost.exe""
0,7376,"dwm.exe",""dwm.exe""
0,7556,"vm3dservice.ex","vm3dservice.exe -n"
0,1344,"svchost.exe","C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
0,4288,"sihost.exe","sihost.exe"
0,5188,"taskhostw.exe","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}"
0,5808,"userinit.exe","Required memory at 0x2866dc2020 is not valid (process exited?)"
0,3416,"explorer.exe","C:\Windows\Explorer.EXE"
0,6980,"svchost.exe","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
0,7792,"ShellExperienc",""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca"
0,5344,"SearchUI.exe",""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca"
0,2092,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,4444,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,4084,"ctfmon.exe",""ctfmon.exe""
0,6412,"vmtoolsd.exe",""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" -n vmusr"
0,840,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,1256,"Microsoft.Phot",""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca"
0,6780,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,1824,"WindowsInterna",""C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe" -ServerName:App.AppXagta193n5rpf7mheremt3yyfa1g555vc.mca"
0,1484,"MsMpEng.exe",""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2110.6-0\MsMpEng.exe""
0,6676,"ApplicationFra","C:\Windows\system32\ApplicationFrameHost.exe -Embedding"
0,6608,"taskhostw.exe","taskhostw.exe"
0,5348,"dllhost.exe","C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}"
0,6324,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe""
0,6652,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.0.1981257900\1740024594" -parentBuildID 20210721174149 -prefsHandle 1648 -prefMapHandle 1636 -prefsLen 1 -prefMapSize 243850 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 1728 gpu"
0,5324,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.6.1279006015\1650536005" -childID 1 -isForBrowser -prefsHandle 2304 -prefMapHandle 2300 -prefsLen 285 -prefMapSize 243850 -jsInit 1404 285176 -parentBuildID 20210721174149 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 2292 tab"
0,5408,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.13.1273997870\467629376" -childID 2 -isForBrowser -prefsHandle 3668 -prefMapHandle 3664 -prefsLen 5285 -prefMapSize 243850 -jsInit 1404 285176 -parentBuildID 20210721174149 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 3676 tab"
0,5512,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.20.1748690297\982215683" -childID 3 -isForBrowser -prefsHandle 4280 -prefMapHandle 4284 -prefsLen 5405 -prefMapSize 243850 -jsInit 1404 285176 -parentBuildID 20210721174149 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 4384 tab"
0,3952,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.27.911395197\220835052" -childID 4 -isForBrowser -prefsHandle 5240 -prefMapHandle 5188 -prefsLen 8538 -prefMapSize 243850 -jsInit 1404 285176 -parentBuildID 20210721174149 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 4508 tab"
0,6816,"firefox.exe",""C:\Program Files\Mozilla Firefox\firefox.exe" -contentproc --channel="6324.34.1085873432\1031453070" -parentBuildID 20210721174149 -prefsHandle 1520 -prefMapHandle 5756 -prefsLen 10211 -prefMapSize 243850 -appdir "C:\Program Files\Mozilla Firefox\browser" - 6324 "\\.\pipe\gecko-crash-server-pipe.6324" 2712 socket"
0,7496,"YourPhone.exe",""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.21062.152.0_x64__8wekyb3d8bbwe\YourPhone.exe" -ServerName:App.AppX9yct9q388jvt4h7y0gn06smzkxcsnt8m.mca"
0,8168,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,6632,"setup.exe",""C:\Users\kaul\Downloads\setup.exe" "
0,3924,"SkypeApp.exe",""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.56.102.0_x64__kzf8qxf38zg5c\SkypeApp.exe" -ServerName:App.AppXffn3yxqvgawq9fpmnhy90fr3y01d1t5b.mca"
0,2248,"RuntimeBroker.","C:\Windows\System32\RuntimeBroker.exe -Embedding"
0,1600,"SystemSettings",""C:\Windows\ImmersiveControlPanel\SystemSettings.exe" -ServerName:microsoft.windows.immersivecontrolpanel"
0,3320,"backgroundTask","Required memory at 0xd4c190f020 is not valid (process exited?)"
0,200,"notepad.exe",""C:\Windows\system32\NOTEPAD.EXE" C:\Users\kaul\Desktop\Secret_File.txt"
0,2000,"WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe"
0,6796,"svchost.exe","C:\Windows\System32\svchost.exe -k wsappx -p"
0,5320,"DumpIt.exe",""C:\Users\kaul\Desktop\Memory Capture\DumpIt.exe" "
0,6776,"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
